show_id,title,type,genre
s1,Dick Johnson Is Dead,Movie,Documentaries
s2,Blood & Water,TV Show,International TV Shows
s2,Blood & Water,TV Show,TV Dramas
s2,Blood & Water,TV Show,TV Mysteries
s3,Ganglands,TV Show,Crime TV Shows
s3,Ganglands,TV Show,International TV Shows
s3,Ganglands,TV Show,TV Action & Adventure
s4,Jailbirds New Orleans,TV Show,Docuseries
s4,Jailbirds New Orleans,TV Show,Reality TV
s5,Kota Factory,TV Show,International TV Shows
s5,Kota Factory,TV Show,Romantic TV Shows
s5,Kota Factory,TV Show,TV Comedies
s6,Midnight Mass,TV Show,TV Dramas
s6,Midnight Mass,TV Show,TV Horror
s6,Midnight Mass,TV Show,TV Mysteries
s7,My Little Pony: A New Generation,Movie,Children & Family Movies
s8,Sankofa,Movie,Dramas
s8,Sankofa,Movie,Independent Movies
s8,Sankofa,Movie,International Movies
s9,The Great British Baking Show,TV Show,British TV Shows
s9,The Great British Baking Show,TV Show,Reality TV
s10,The Starling,Movie,Comedies
s10,The Starling,Movie,Dramas
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,Crime TV Shows
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,Docuseries
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,International TV Shows
s12,Bangkok Breaking,TV Show,Crime TV Shows
s12,Bangkok Breaking,TV Show,International TV Shows
s12,Bangkok Breaking,TV Show,TV Action & Adventure
s13,Je Suis Karl,Movie,Dramas
s13,Je Suis Karl,Movie,International Movies
s14,Confessions of an Invisible Girl,Movie,Children & Family Movies
s14,Confessions of an Invisible Girl,Movie,Comedies
s15,Crime Stories: India Detectives,TV Show,British TV Shows
s15,Crime Stories: India Detectives,TV Show,Crime TV Shows
s15,Crime Stories: India Detectives,TV Show,Docuseries
s16,Dear White People,TV Show,TV Comedies
s16,Dear White People,TV Show,TV Dramas
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,Documentaries
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,International Movies
s18,Falsa identidad,TV Show,Crime TV Shows
s18,Falsa identidad,TV Show,Spanish-Language TV Shows
s18,Falsa identidad,TV Show,TV Dramas
s19,Intrusion,Movie,Thrillers
s20,Jaguar,TV Show,International TV Shows
s20,Jaguar,TV Show,Spanish-Language TV Shows
s20,Jaguar,TV Show,TV Action & Adventure
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Crime TV Shows
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Docuseries
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,International TV Shows
s22,Resurrection: Ertugrul,TV Show,International TV Shows
s22,Resurrection: Ertugrul,TV Show,TV Action & Adventure
s22,Resurrection: Ertugrul,TV Show,TV Dramas
s23,Avvai Shanmughi,Movie,Comedies
s23,Avvai Shanmughi,Movie,International Movies
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Children & Family Movies
s25,Jeans,Movie,Comedies
s25,Jeans,Movie,International Movies
s25,Jeans,Movie,Romantic Movies
s26,Love on the Spectrum,TV Show,Docuseries
s26,Love on the Spectrum,TV Show,International TV Shows
s26,Love on the Spectrum,TV Show,Reality TV
s27,Minsara Kanavu,Movie,Comedies
s27,Minsara Kanavu,Movie,International Movies
s27,Minsara Kanavu,Movie,Music & Musicals
s28,Grown Ups,Movie,Comedies
s29,Dark Skies,Movie,Horror Movies
s29,Dark Skies,Movie,Sci-Fi & Fantasy
s30,Paranoia,Movie,Thrillers
s31,Ankahi Kahaniya,Movie,Dramas
s31,Ankahi Kahaniya,Movie,Independent Movies
s31,Ankahi Kahaniya,Movie,International Movies
s32,Chicago Party Aunt,TV Show,TV Comedies
s33,Sex Education,TV Show,British TV Shows
s33,Sex Education,TV Show,International TV Shows
s33,Sex Education,TV Show,TV Comedies
s34,Squid Game,TV Show,International TV Shows
s34,Squid Game,TV Show,TV Dramas
s34,Squid Game,TV Show,TV Thrillers
s35,Tayo and Little Wizards,TV Show,Kids' TV
s36,The Father Who Moves Mountains,Movie,Dramas
s36,The Father Who Moves Mountains,Movie,International Movies
s36,The Father Who Moves Mountains,Movie,Thrillers
s37,The Stronghold,Movie,Action & Adventure
s37,The Stronghold,Movie,Dramas
s37,The Stronghold,Movie,International Movies
s38,Angry Birds,TV Show,Kids' TV
s38,Angry Birds,TV Show,TV Comedies
s39,Birth of the Dragon,Movie,Action & Adventure
s39,Birth of the Dragon,Movie,Dramas
s40,Chhota Bheem,TV Show,Kids' TV
s41,He-Man and the Masters of the Universe,TV Show,Kids' TV
s41,He-Man and the Masters of the Universe,TV Show,TV Sci-Fi & Fantasy
s42,Jaws,Movie,Action & Adventure
s42,Jaws,Movie,Classic Movies
s42,Jaws,Movie,Dramas
s43,Jaws 2,Movie,Dramas
s43,Jaws 2,Movie,Horror Movies
